OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,MAINSHAPE,LINEDYEAR,LINERTYPE,FROMMH,TOMH,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,DOWNELEV,UPELEV,SLOPE,SHAPE_Length,geometry,ResourceID
1297,1258-596,19790101,Vitrified Clay,8",Circular,,,MH-1258,MH-596,Sewage,True,True,Our Agency,Our Agency,,20150518121937,Esri,700.57,701.96,0.408762220886702,340.05099516896325,"LINESTRING M (-88.12684833457381 41.78517288871995 0,-88.12690571675998 41.7851275127459 22.766300000000005,-88.1269718559018 41.785075212481004 49.006800000000005,-88.12705717571482 41.78500774580318 82.85695000000001,-88.12710380944448 41.7849708669554 101.35947000000002,-88.12716758443041 41.784920439587566 126.66112000000003,-88.12723964837865 41.78486345080817 155.25322000000003,-88.12730276949168 41.78481353809883 180.29610000000002,-88.12735428372324 41.78477280084459 200.73474000000002,-88.12746162954498 41.784687914426804 243.32438000000005,-88.12750671909458 41.784652258939424 261.21369000000004,-88.12770542632262 41.784495127002636 340.05100000000004)",a0c1a717-6248-4802-911e-29891bc16595
1298,413-1489,19970101,Polyvinyl Chloride,8",Circular,,,MH-413,MH-1489,Sewage,True,True,Our Agency,Our Agency,,20150518121937,Esri,700.75,702.23,1.5071588759426,98.19800842657708,"LINESTRING M (-88.11978093780526 41.78518369901321 0,-88.11980415982451 41.78491477519917 98.19801000000001)",75bd5b3b-3333-43d7-94e7-a8391a49beae
1299,360-1805,19790101,Vitrified Clay,8",Circular,,,MH-360,MH-1805,Sewage,True,True,Our Agency,Our Agency,,20150518121937,Esri,726.13,726.35,0.260281712503074,84.523802261916,"LINESTRING M (-88.1338382282584 41.784519502203175 0,-88.1341182725882 41.78461886593373 84.52380000000001)",bc21a117-00c2-49df-904d-ed5e97f3036a
1300,32-305,19780101,Vitrified Clay,15",Circular,,,MH-32,MH-305,Sewage,True,True,Our Agency,Our Agency,,20150518121937,Esri,692.65,692.76,0.0996650359642702,110.36969879732816,"LINESTRING M (-88.12835104437491 41.77841043544775 0,-88.12834211762546 41.778107621058986 110.36970000000002)",2aeac6ed-1c7e-4901-a2a8-16d894b3e7c2
1301,886-895,19850101,Vitrified Clay,15",Circular,,,MH-886,MH-895,Sewage,True,True,Our Agency,Our Agency,,20150518121937,Esri,692.01,692.21,0.213529427578373,93.6639049091435,"LINESTRING M (-88.12867882781833 41.777785190799854 0,-88.1287004473857 41.777773944155356 7.181120000000001,-88.12880654866188 41.7777187616426 42.421020000000006,-88.12885811549737 41.77769193706892 59.54921000000001,-88.12896082732462 41.77763851489316 93.66390000000001)",d6fa8887-a9ee-4cd3-a99f-577babf3bd97
1302,2072-1771,19600101,Vitrified Clay,8",Circular,,,MH-2072,MH-1771,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,736.0400000000001,0,229.272629306267,321.0326510526387,"LINESTRING M (-88.1257914752159 41.77353046591965 0,-88.12584517249408 41.77351631464728 15.528480000000002,-88.12592380614646 41.77349559429565 38.267900000000004,-88.12612372694622 41.77344291279018 96.08154000000002,-88.1261978799527 41.77342336994894 117.52564000000002,-88.12637586984164 41.77337646571463 168.99750000000003,-88.12646257449984 41.77335361666555 194.07119000000003,-88.12666002546928 41.77330158614336 251.17069000000004,-88.12679568270443 41.77326583533936 290.40094000000005,-88.12690160654284 41.77323792084494 321.03265000000005)",2fda5c69-f761-4973-8837-93cdeee2a338
1303,318-598,19790101,Vitrified Clay,10",Circular,,,MH-318,MH-598,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,694.71,694.9300000000001,0.266392377722571,82.58494551560644,"LINESTRING M (-88.12749540339844 41.78185969428756 0,-88.12747253783692 41.78185081625856 7.025510000000001,-88.12732640839087 41.78179408177585 51.92370000000001,-88.12722661569077 41.78175533755729 82.58495)",4f05c512-eecb-487e-99b6-cf65840df976
1304,598-1779,19790101,Vitrified Clay,15",Circular,,,MH-598,MH-1779,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,694.44,694.71,0.159250591661279,169.54411106632736,"LINESTRING M (-88.12722661569077 41.78175533755729 0,-88.12737813317786 41.78130408997703 169.54411000000002)",be4c86c9-8b5e-44fb-bdc0-794b0d75984c
1305,1779-2084,19790101,Vitrified Clay,15",Circular,,,MH-1779,MH-2084,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,694.03,694.44,0.139267425971671,294.3976289785686,"LINESTRING M (-88.12737813317786 41.78130408997703 0,-88.12841442971983 41.78107806932048 294.39763000000005)",f9e205a7-8c15-4f44-a380-743435b72ed3
1306,2084-1473,19790101,Vitrified Clay,15",Circular,,,MH-2084,MH-1473,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,694.51,694.03,0.236548554583902,202.91817079345796,"LINESTRING M (-88.12841442971983 41.78107806932048 0,-88.12839136199679 41.78052146798034 202.91817000000003)",6de2797a-53ee-4372-9bac-54b4f2a69d50
