WKT,objectid,facilityid,installdate,locdesc,rotation,diameter,valvetype,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.396680545973 37.7954849858996),276,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{1FB049CD-E4E2-49A5-B702-31BE768C0526},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,1FB049CD-E4E2-49A5-B702-31BE768C0526
POINT (-122.389368654808 37.7887116247423),277,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{711B2648-CC95-49DE-B118-9489D5B080EB},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,711B2648-CC95-49DE-B118-9489D5B080EB
POINT (-122.394397521352 37.7960457581405),278,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{44EF509D-FBE9-49D8-810C-2C9722E88C47},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,44EF509D-FBE9-49D8-810C-2C9722E88C47
POINT (-122.390252370093 37.790705695504),279,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{B9111A9F-B8C4-46A4-9A7A-8C5ADA132C19},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,B9111A9F-B8C4-46A4-9A7A-8C5ADA132C19
POINT (-122.394456841543 37.796290311584),280,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{9C3F8FD3-99F7-4F71-8F1F-51AD341C66A7},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,9C3F8FD3-99F7-4F71-8F1F-51AD341C66A7
POINT (-122.396669150771 37.7954953609644),281,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{6AB251CC-134C-4721-87BE-4DE04773A295},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,6AB251CC-134C-4721-87BE-4DE04773A295
POINT (-122.394356484157 37.7960870853548),282,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{67239928-8B4B-47B3-A937-A469B5932C03},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,67239928-8B4B-47B3-A937-A469B5932C03
POINT (-122.39309661594 37.7933467195534),283,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{88237FCF-C0F0-45C4-B930-B3CBA5BA8608},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,88237FCF-C0F0-45C4-B930-B3CBA5BA8608
POINT (-122.397813975281 37.7989212594357),284,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{89413251-7639-44D4-8F79-26C1D5DC75CD},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,89413251-7639-44D4-8F79-26C1D5DC75CD
POINT (-122.38864258468 37.7901714989317),285,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{EA14377C-E291-4E8F-80EF-37D7E0EF06CF},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,EA14377C-E291-4E8F-80EF-37D7E0EF06CF
POINT (-122.394949252011 37.7944771137017),286,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{9D34B527-014E-49F0-A7DE-BF0DB6B31630},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,9D34B527-014E-49F0-A7DE-BF0DB6B31630
POINT (-122.396976682258 37.7960676225496),287,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{4FFE7733-BDE2-41BA-8098-9D65559D67D6},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,4FFE7733-BDE2-41BA-8098-9D65559D67D6
POINT (-122.391529445594 37.7918534702635),288,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{816E7B49-E9BC-4A88-9AAB-A66AD0476552},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,816E7B49-E9BC-4A88-9AAB-A66AD0476552
POINT (-122.397994911392 37.7952556653042),289,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{DAC97EFA-060A-42E9-AC1E-EC689B5B0982},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,DAC97EFA-060A-42E9-AC1E-EC689B5B0982
POINT (-122.39445735668 37.7950246516394),290,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{A4426155-9160-4D3A-B591-7D8571EB1531},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,A4426155-9160-4D3A-B591-7D8571EB1531
POINT (-122.395902985236 37.7965186755239),291,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{C9D74EB4-2937-4E08-8736-7427E4B32EAC},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,C9D74EB4-2937-4E08-8736-7427E4B32EAC
POINT (-122.396371981659 37.7981088482118),292,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{8687F05B-1415-49D5-A235-E0F17DD0DF01},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,8687F05B-1415-49D5-A235-E0F17DD0DF01
POINT (-122.389368654808 37.7887116247423),293,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{68F2FB5D-2C54-4225-BE00-A9274826C3D4},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,68F2FB5D-2C54-4225-BE00-A9274826C3D4
POINT (-122.398162962063 37.7959338134481),294,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{3727F62B-55A0-4A67-85CF-F5D4AD6A2093},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,3727F62B-55A0-4A67-85CF-F5D4AD6A2093
POINT (-122.394399791706 37.7960622759745),295,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{8A125AC1-0C4A-4D26-B3D6-C4BC534CBD1E},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,8A125AC1-0C4A-4D26-B3D6-C4BC534CBD1E
POINT (-122.390932963219 37.7913427945976),296,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{6B817665-869B-4D94-8E20-E42007E9CFF7},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,6B817665-869B-4D94-8E20-E42007E9CFF7
POINT (-122.393960890463 37.7937155329809),297,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{11ABDCE9-5BBB-43FA-B3B8-0E608641FBD5},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,11ABDCE9-5BBB-43FA-B3B8-0E608641FBD5
POINT (-122.389402230775 37.7913292114691),298,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{B77509C2-B83A-4EFF-A8A8-1100056EFB4E},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,B77509C2-B83A-4EFF-A8A8-1100056EFB4E
POINT (-122.389285701794 37.7887914691007),299,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{77396AD5-48C6-4F5C-9402-EDB7FB0374C9},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,77396AD5-48C6-4F5C-9402-EDB7FB0374C9
POINT (-122.396691236958 37.7956078119123),300,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{D43CCF8D-5B52-4049-B92E-1564A89BC7AE},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,D43CCF8D-5B52-4049-B92E-1564A89BC7AE
POINT (-122.39732791538 37.799159610081),301,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{4EA4E13C-277D-4703-A5F2-768298D6C643},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,4EA4E13C-277D-4703-A5F2-768298D6C643
POINT (-122.389702874529 37.791249717679),302,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{15077C41-1F32-4DFA-911C-4177FD370EA7},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,15077C41-1F32-4DFA-911C-4177FD370EA7
POINT (-122.390165677349 37.7907295505904),303,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{F24B756E-19D7-4730-AE33-75E16F90F583},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,F24B756E-19D7-4730-AE33-75E16F90F583
