OBJECTID,FACILITYID,INSTALLDATE,FITTINGTYPE,LOCDESC,ROTATION,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,GlobalID,geometry,ResourceID
23600,WFIT-23600,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{508E69A8-5C83-4DF8-B72F-F1C88BFAF486},POINT (-88.12255806801885 41.789355362569914),c62fce60-a987-48ac-926f-e9ff5229110c
23601,WFIT-23601,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{5DECA269-61C7-43B5-B3EB-F2E0D1F60E91},POINT (-88.12764488538691 41.79002824624844),89a4eb43-cabb-4cad-8e8b-f1046c0dde60
23602,WFIT-23602,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{0CBE32FE-DF06-403F-BF18-90EC8F2A660B},POINT (-88.12662755336461 41.78515319333436),53fef9e0-2a82-4137-8ddc-a7e49f694547
23603,WFIT-23603,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{61410137-5374-4298-B547-D409BBDC6FB1},POINT (-88.12579153461948 41.7879515694949),f2b97525-a416-4418-a6d7-03b651064913
23604,WFIT-23604,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{73319C48-D0EE-4385-8BB7-C5F88C201C15},POINT (-88.1236506153398 41.78954109320784),f5b63bc7-ff08-4b0f-8739-93e6105a27fd
23605,WFIT-23605,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{2F257C36-5AAB-4AE3-AB00-6ED6E4FBC8EF},POINT (-88.1240036525569 41.790159508284795),bb81951d-b2e5-4802-bf35-6e9d25ec6f71
23606,WFIT-23606,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{382D6061-A375-449A-B209-4BB1BD197F7F},POINT (-88.12384945197117 41.79001063337459),9232be55-ad9d-4896-a18d-071835f6e6ac
23611,WFIT-23611,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{88124AB2-BD17-4C76-A599-D368FE125EEB},POINT (-88.12343997877528 41.79341923924937),a2f1a513-9d3a-4bc6-8d21-6f2e216d9720
23612,WFIT-23612,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{C83F4EA1-6462-452E-A0A9-DA5794B59B15},POINT (-88.12454841493403 41.79308862973045),f6b77c5b-f7cd-4e1e-89f9-2feb2dbb07a5
23613,WFIT-23613,000000,Cap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{CB346F07-BC21-42D9-B13B-4DCDAF651CAD},POINT (-88.12402239847404 41.79233827692951),e2837828-2e0f-4b0d-98a5-9bd517f7c88c
23614,WFIT-23614,000000,Reducer,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{5DA1EEFE-783B-4EBB-9DE7-195A5B297BD2},POINT (-88.12283698399995 41.79371606896875),ed948ecd-9f9b-48fc-9c84-8655aeb0e101
23616,WFIT-23616,000000,Cap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{9EB3FCCA-5BAB-4039-8B32-0994210A590D},POINT (-88.1219148500972 41.79673572271774),108a8ffc-ffb3-4ef3-bed2-17a070aa5d6e
23617,WFIT-23617,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E8574178-6AD6-4659-A108-D8CE810466B2},POINT (-88.12392511609245 41.79218773935481),9c805ea0-8d44-425e-960c-f13c9fc12cd3
23621,WFIT-23621,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{88ED91A7-089E-4ACC-BB52-5E5FA470D602},POINT (-88.17007937400987 41.777212451386546),d262e567-c373-4fb4-aded-af778f0b004c
23622,WFIT-23622,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{FC9C64D2-DA88-4767-8ACE-23333617AEA8},POINT (-88.17167546980306 41.77489342445702),380ee717-fa67-4e53-9818-38c1d0040549
23623,WFIT-23623,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{C2CD9DDC-8DCA-4BFD-A4BD-2D6A0699BF2C},POINT (-88.17435182511217 41.775066859684834),1e36acc9-50da-474a-afa1-f4c592ae706b
23624,WFIT-23624,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{BD91F3A2-836A-4DF0-89C8-E575067AF706},POINT (-88.17130603967499 41.77776006753961),020c4719-d758-4af8-859d-6333780709b6
23625,WFIT-23625,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E8774FA0-96D9-4B3C-A371-C4B809D9DB6B},POINT (-88.17570280526384 41.78093288804661),8919cee5-e00b-402c-ab4e-cd4142a6c4d5
23626,WFIT-23626,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{129EE879-0277-4FFB-8D59-92E6FA4300C0},POINT (-88.1793114269992 41.773717613145884),5aed15f4-b039-4126-8bcf-c0976b6f964e
23627,WFIT-23627,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{72E8E733-182E-4D2E-BEFE-26FF0CAF7B7D},POINT (-88.17816125986282 41.77487999323115),3925f20f-79ed-4241-a4aa-55e82876daa7
23628,WFIT-23628,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{A1E3716A-42EA-4BBB-B7D3-0C6013635B30},POINT (-88.17655812291562 41.772958900332256),b3fb2fbe-ea4c-4e8e-b79b-4cb72262019c
23629,WFIT-23629,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{DFF98CCD-A171-451F-BCCE-A7F06E81C1EE},POINT (-88.17371568921892 41.771772040920226),b8b8a05d-6d8b-4188-98fe-28cfac7ceb97
23630,WFIT-23630,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{C2EF49DF-7093-4D8E-865B-5E8A896891CF},POINT (-88.17730253980696 41.7724887233172),145cea8e-23c9-4028-885d-98b1f80ed01b
23631,WFIT-23631,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{77445A02-6AF3-4272-AD2E-C011A8E7F815},POINT (-88.17147442491337 41.77285915388853),e0dce5f0-ec52-4db0-983a-0622351bc53e
23632,WFIT-23632,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{AD1B1511-AED7-4A8A-93DA-9A8CBC8F0973},POINT (-88.18037790483841 41.773820547671015),9769b841-940e-4a3b-9190-f80f93d13b1a
23633,WFIT-23633,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{64DCE618-D6EA-4060-8538-7DF225116725},POINT (-88.17223857599936 41.76996919956007),012fcc99-6ddb-479d-8497-2b3aa9a377a7
23634,WFIT-23634,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{F1A7E7DC-6458-4101-8E56-EFA6B83FEEF2},POINT (-88.17982867893066 41.77176357917643),c489b275-b049-43b6-aaa3-9c25afea64fa
