WKT,objectid,facilityid,installdate,locdesc,rotation,manufacturer,operable,lastservice,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,flow,globalid,comments,doc_name,status,source,ResourceID
POINT (-122.38803475779 37.7876190035299),32,,,,,,,,1,,8,,2012-08-14T11:54:43.000,JAH,,{32A115F9-D58C-4770-9CD4-B2664670C351},,SOUTH EMBARCADERO PROJECT,ACT,,32A115F9-D58C-4770-9CD4-B2664670C351
POINT (-122.380860865605 37.7507707620194),33,,1963-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{4918B7FA-0BEF-4F43-BE8B-A87C85B6A952},,7370-86-1,ACT,,4918B7FA-0BEF-4F43-BE8B-A87C85B6A952
POINT (-122.37898066767 37.749607391999),34,,1963-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{56283A33-9C1B-495E-A9D7-B6F7466A36FF},,7370-86-1,ACT,,56283A33-9C1B-495E-A9D7-B6F7466A36FF
POINT (-122.382393096059 37.7494152423125),35,,1963-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{8A1C8E97-EACF-4792-B7A5-2ABC37099B37},,7370-86-1,ACT,,8A1C8E97-EACF-4792-B7A5-2ABC37099B37
POINT (-122.374844044023 37.7438587536249),36,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{BADCC964-E52B-4F2F-AFB6-B22595253037}, ,8718-94-1,ACT,,BADCC964-E52B-4F2F-AFB6-B22595253037
POINT (-122.374123599915 37.7427963408282),37,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{BBD1AF41-0439-4441-8932-A716E6C613B4}, ,8718-94-1,ACT,,BBD1AF41-0439-4441-8932-A716E6C613B4
POINT (-122.372892346884 37.7448235611309),38,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{37DA904C-EC7D-4D8A-AC4B-E6C4F3301C45}, ,8718-94-1,ACT,,37DA904C-EC7D-4D8A-AC4B-E6C4F3301C45
POINT (-122.372098837246 37.7440041634228),39,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{8C428E4E-E057-4FCB-8E7E-BAEAB62C8390}, ,8718-94-1,ACT,,8C428E4E-E057-4FCB-8E7E-BAEAB62C8390
POINT (-122.375393644171 37.7418599712404),40,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{116CDA41-5106-4E4B-A2F9-72F713C2DE03}, ,8718-94-1,ACT,,116CDA41-5106-4E4B-A2F9-72F713C2DE03
POINT (-122.378584607387 37.7490909421677),41,,1992-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{2C6AD53B-9A48-4FB7-AFFE-3D5A6B817B29},,9859-80-1,ACT,,2C6AD53B-9A48-4FB7-AFFE-3D5A6B817B29
POINT (-122.379826700786 37.7490093669263),42,,1992-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{F563C60E-862A-465A-975B-5C567937F316},,9859-80-1,ACT,,F563C60E-862A-465A-975B-5C567937F316
POINT (-122.378929609342 37.7496104627211),43,,1975-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{5CBF858F-CA9A-4D4D-89CE-42810443E380},(N) HYDRANT LOCATION PER 8753-80-4.,8753-80-4,ACT,,5CBF858F-CA9A-4D4D-89CE-42810443E380
POINT (-122.380492832987 37.7495140287559),44,,1975-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{2CE834A0-BECE-412C-BFD6-A4D19365CA43},(N) HYDRANT LOCATION PER 8753-80-4.,8753-80-4,ACT,,2CE834A0-BECE-412C-BFD6-A4D19365CA43
POINT (-122.380668073375 37.7495034863362),45,,1963-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{200E17E3-E54A-421A-B49C-0696F3688478},,7370-86-1,ACT,,200E17E3-E54A-421A-B49C-0696F3688478
POINT (-122.375338539823 37.7410018390915),46,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{B31D434F-1538-4C81-B6F8-52580DB11702}, ,8089-96-1,ACT,,B31D434F-1538-4C81-B6F8-52580DB11702
POINT (-122.373734149999 37.7415938510656),47,,,,,,,,1,,1,,2010-11-15T00:00:00.000,JAH,,{48AF5A15-F041-4B7C-9557-AB85A8F64BB6}, ,8089-96-1,ACT,,48AF5A15-F041-4B7C-9557-AB85A8F64BB6
POINT (-122.384239791608 37.7598819547673),48,,,,,,,,1,,1,,,,,{B6073A15-FFA4-4B6C-AB9F-13FCB5209ECC},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,B6073A15-FFA4-4B6C-AB9F-13FCB5209ECC
POINT (-122.383567509329 37.7599070162616),49,,,,,,,,1,,1,,,,,{12111E38-3787-440E-8032-5E42FB619F13},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,12111E38-3787-440E-8032-5E42FB619F13
POINT (-122.38364488108 37.7608855222204),50,,,,,,,,1,,1,,,,,{01A32A4C-EECC-4700-B241-5A4869347E6A},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,01A32A4C-EECC-4700-B241-5A4869347E6A
POINT (-122.382015956663 37.7597368197566),51,,,,,,,,1,,1,,,,,{3B0265B2-7A41-493F-91F0-F920C035DFD1},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,3B0265B2-7A41-493F-91F0-F920C035DFD1
POINT (-122.3877174238 37.7635685931592),52,,,,,,,,1,,8,,2014-07-10T17:14:11.000,,,{5A7E2E84-C015-4366-BD90-59E4004548BF},,6525-418-2,ACT,,5A7E2E84-C015-4366-BD90-59E4004548BF
POINT (-122.388032222356 37.7670454178414),53,,,,,,,,1,,8,,2014-07-08T16:37:30.000,JAH,,{76490820-6003-4EBF-9063-EB8596CF2587},,6525-418-2,ACT,,76490820-6003-4EBF-9063-EB8596CF2587
POINT (-122.388324669779 37.7670277557619),54,,,,,,,,1,,8,,2014-07-08T16:37:30.000,JAH,,{BC3A620D-E11B-4FCC-A8F5-55AD7AB3E7BD},,6525-418-2,ACT,,BC3A620D-E11B-4FCC-A8F5-55AD7AB3E7BD
POINT (-122.385720279229 37.7702237216302),55,,,,,,,,1,,1,,2013-03-29T13:29:58.000,JAH,,{866E92F8-311F-4F6C-8ECF-1AFD665E912A},,GOOGLE STREET,ACT,,866E92F8-311F-4F6C-8ECF-1AFD665E912A
POINT (-122.376666169825 37.7501983859978),56,,1992-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{272C415E-C3BD-45A3-B172-1F0F1C16F2F9},,9859-80-1,ACT,,272C415E-C3BD-45A3-B172-1F0F1C16F2F9
POINT (-122.377129259123 37.7515075518129),57,,1992-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{90366305-090A-4E20-8A08-1CBB02A851F0},,9859-80-1,ACT,,90366305-090A-4E20-8A08-1CBB02A851F0
POINT (-122.379759401797 37.7513415317215),58,,1992-07-01T00:00:00.000,,,,,,1,,1,,2014-01-27T17:55:52.000,JAH,,{3C93C950-D69E-47B2-B04F-260F90D727CF},,9859-80-1,ACT,,3C93C950-D69E-47B2-B04F-260F90D727CF
POINT (-122.387940702227 37.7658496436567),59,,,,,,,,1,,8,,2014-07-08T16:37:30.000,JAH,,{1A905BA9-279D-4465-9BB2-0F07014EB8B2},,6525-418-2,ACT,,1A905BA9-279D-4465-9BB2-0F07014EB8B2
POINT (-122.397925461509 37.7997933550368),60,,2000-07-01T00:00:00.000,,,,,,1,,1,,2013-05-16T15:39:22.000,JAH,,{422AFBE3-BA74-4210-AEB5-EC63BCD7D0AF},,16217-4014-M,ACT,,422AFBE3-BA74-4210-AEB5-EC63BCD7D0AF
