WKT,objectid,facilityid,installdate,material,diameter,watertype,transmiss,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,shape_Length,ResourceID
"MULTILINESTRING M ((-122.38488901388 37.7743292804026 0,-122.384873779275 37.7741649448998 0,-122.384925539004 37.7741619219489 0))",2189,,,CPR,2,DW,,1,,1,,2014-09-26T17:56:20.000,JAH,{4E5B2404-DA5C-4561-81A2-3E14A2F6FC25},Water Supply for Tenant RR; Pipe on outside wall of Shed;,Field Visit,ACT,75.0001004,4E5B2404-DA5C-4561-81A2-3E14A2F6FC25
"MULTILINESTRING M ((-122.384884736932 37.7744515529499 0,-122.384877295208 37.7743712713308 0,-122.384892822281 37.7743703651826 0,-122.38488901388 37.7743292804026 0))",2190,,,CPR,2,DW,,1,,1,,2014-09-26T17:56:20.000,JAH,{1743E288-9BF8-4E45-B0B0-4003B8EC566B},Water Supply for ABD RR and Tenant RR; Pipe on outside wall of Shed;,Field Visit,ACT,48.81134462,1743E288-9BF8-4E45-B0B0-4003B8EC566B
"MULTILINESTRING M ((-122.386564626332 37.7743534231901 0,-122.386563864699 37.7743452064214 0))",2191,,,CPR,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{322DC663-F9BE-405D-903C-0869FF923107},3/4 in Hosebbib on top of deck;,Field Visit,ACT,2.99998671,322DC663-F9BE-405D-903C-0869FF923107
"MULTILINESTRING M ((-122.385730132981 37.7744021727092 0,-122.385729371439 37.7743939559352 0,-122.385739723188 37.7743933514556 0))",2192,,,GP,2,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{16FEFA57-A1F1-4223-BF5B-2A6871934142},Ship Water Service and HB;,Field Visit,ACT,5.999973434,16FEFA57-A1F1-4223-BF5B-2A6871934142
"MULTILINESTRING M ((-122.383352382343 37.7744529234154 0,-122.383290270593 37.7744565508419 0,-122.383288748048 37.7744401172625 0))",2193,,2011-07-01T00:00:00.000,CPR,2,DW,,1,,12,,2014-11-06T16:27:16.000,JAH,{1917F13A-1228-4359-9617-B1BED60C6F51},Water Supply for Bauer RR;,Field Visit,ACT,24.00025631,1917F13A-1228-4359-9617-B1BED60C6F51
"MULTILINESTRING M ((-122.385739723188 37.7743933514556 0,-122.385750074936 37.774392746975 0))",2194,,,CPR,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{F4C53EA0-D629-4694-A8F6-8F2061DD1B22},3/4 in Hosebbib on top of deck;,Field Visit,ACT,2.999986725,F4C53EA0-D629-4694-A8F6-8F2061DD1B22
"MULTILINESTRING M ((-122.384856371191 37.774444949109 0,-122.384846019428 37.7744455535111 0))",2195,,,CPR,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{A99A914C-686F-4F21-B77D-6A7120E8AEB8},3/4 in Hosebbib on top of deck;,Field Visit,ACT,2.99998671,A99A914C-686F-4F21-B77D-6A7120E8AEB8
"MULTILINESTRING M ((-122.384856371191 37.774444949109 0,-122.384857132614 37.7744531649877 0,-122.384857894083 37.774461382668 0))",2196,,,GP,2,DW,,1,,12,,2014-11-06T14:53:39.000,JAH,{8F5AA702-8C2E-4C5B-90F0-85546E0EE886},Ship Water Service;,Field Visit,ACT,5.999973434,8F5AA702-8C2E-4C5B-90F0-85546E0EE886
"MULTILINESTRING M ((-122.384867484378 37.7744525605846 0,-122.384866722931 37.7744443438051 0,-122.384856371191 37.774444949109 0))",2197,,,GP,2,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{BE0BE262-971B-47A7-AE3C-C1EBE218854B},Ship Water Service and HB;,Field Visit,ACT,5.999990925,BE0BE262-971B-47A7-AE3C-C1EBE218854B
"MULTILINESTRING M ((-122.384381120132 37.7743864836387 0,-122.384378581394 37.7743590940747 0))",2198,,,CPR,1.5,DW,,1,,12,,2014-11-06T15:33:43.000,JAH,{49AD6BF7-3C66-445B-8343-C43126B9E61C},,Field Visit,ACT,10.00007658,49AD6BF7-3C66-445B-8343-C43126B9E61C
